Model,R² Score,RMSE
Gradient Boosting,0.9285425237846979,0.11498576220988628
Extra Trees,0.9230222843987695,0.11934459116575162
Random Forest,0.9202152842780003,0.1215010644281711
Decision Tree,0.791133867164667,0.1965867507569338
Linear Regression,-4.483856707606076,1.00731031399865
