Feature,Importance
Garage Type_BuiltIn,9.229737661655932e-05
Lot Shape_IR2,9.190544482115113e-05
Neighborhood_SawyerW,8.417487236053289e-05
Exterior 2nd_Wd Shng,8.294132784512157e-05
Functional_Sev,8.116569909915437e-05
BsmtFin Type 2_BLQ,8.065812302647377e-05
Pool Area,7.898622197201318e-05
Bldg Type_2fmCon,7.805963256297369e-05
Garage Type_CarPort,7.465777072780538e-05
Neighborhood_BrDale,7.031704315851268e-05
Exterior 1st_CemntBd,6.745073372684894e-05
Exterior 1st_WdShing,6.6526385994829e-05
Sale Condition_Partial,6.621893268197948e-05
House Style_SLvl,6.534733359482251e-05
Exterior 2nd_BrkFace,6.49958760681132e-05
House Style_SFoyer,6.441535380921587e-05
Functional_Mod,6.121147674363556e-05
Functional_Min2,5.7981332757079764e-05
House Style_2.5Unf,5.460140669045154e-05
Misc Feature_Shed,5.4536525518213575e-05
Lot Config_FR2,5.4043329202888214e-05
Bldg Type_Duplex,5.400988791300384e-05
Lot Shape_IR3,5.240923399912107e-05
Sale Type_New,5.1860693017156575e-05
Exterior 1st_PreCast,4.953684127946103e-05
Neighborhood_NPkVill,4.953550882653427e-05
Pool QC_Gd,4.827142688208663e-05
Garage Type_Basment,4.826757717485882e-05
Roof Style_Gambrel,4.8089406233187205e-05
Mas Vnr Type_BrkCmn,4.7480402686001e-05
Condition 1_PosA,4.684536178400909e-05
3Ssn Porch,4.620278542880043e-05
Exterior 1st_Stucco,4.4612819812897024e-05
Neighborhood_ClearCr,4.328381300602157e-05
Neighborhood_Gilbert,4.321370143319809e-05
Bldg Type_Twnhs,4.184831711348682e-05
MS Zoning_FV,4.1419636642313226e-05
Bldg Type_TwnhsE,4.095142303604208e-05
Condition 2_Norm,4.079051537142536e-05
Exterior 2nd_CmentBd,3.8473786742508986e-05
Low Qual Fin SF,3.772167443038004e-05
BsmtFin Type 2_Rec,3.718018994515919e-05
Neighborhood_Timber,3.607682572071619e-05
Heating_Wall,3.6060967087524804e-05
Exter Qual_Fa,3.537115940499708e-05
Mas Vnr Type_CBlock,3.366236398198649e-05
Fireplace Qu_Fa,3.155906420018076e-05
BsmtFin Type 2_LwQ,3.142832542191805e-05
Land Slope_Sev,3.018555239809629e-05
Sale Type_ConLw,2.9981631023918912e-05
Condition 1_RRAn,2.955225804993712e-05
Condition 1_RRAe,2.952653358799764e-05
Neighborhood_GrnHill,2.8375980268681496e-05
Neighborhood_SWISU,2.6960799500989483e-05
Heating_GasW,2.680329741016265e-05
Foundation_Slab,2.5494625202870113e-05
Exterior 2nd_PreCast,2.513349544039759e-05
Pool QC_Ex,2.484933807574319e-05
MS Zoning_RH,2.366051269201578e-05
Sale Type_ConLI,2.3179811750797517e-05
Utilities_NoSewr,2.1342120347198004e-05
Misc Feature_Elev,2.1020643158261084e-05
Neighborhood_Veenker,2.0877919936571557e-05
Electrical_Mix,1.9878186398468643e-05
Exterior 2nd_ImStucc,1.9792113574248252e-05
Roof Style_Shed,1.9531014094479717e-05
Condition 1_PosN,1.8888731183795774e-05
Electrical_FuseP,1.8654981700109802e-05
Garage Qual_Po,1.810938717849477e-05
BsmtFin Type 2_ALQ,1.6955796575864145e-05
Fireplace Qu_Ex,1.6139384063311203e-05
Garage Type_2Types,1.5865540715108577e-05
BsmtFin Type 2_GLQ,1.4902259152267981e-05
Lot Config_FR3,1.4751948440148616e-05
Neighborhood_MeadowV,1.3951168985311349e-05
Exterior 2nd_CBlock,1.2811846096599285e-05
Exterior 2nd_Brk Cmn,1.08793738850007e-05
Sale Type_CWD,1.0769214006011127e-05
Garage Qual_Gd,1.0504104968074295e-05
Exterior 1st_BrkComm,1.0364227637236522e-05
Bsmt Cond_Po,9.652985156732103e-06
Condition 1_RRNn,8.019157776264202e-06
House Style_1.5Unf,7.060473628959538e-06
Bsmt Qual_Po,5.87715653108099e-06
Condition 1_RRNe,5.5517820987642795e-06
Misc Feature_Gar2,5.40790739642723e-06
Roof Matl_WdShngl,5.179322067126838e-06
Sale Condition_AdjLand,4.661512672927784e-06
Garage Cond_Gd,4.3270093144287655e-06
Condition 2_Feedr,4.058968321886846e-06
Condition 2_PosA,3.7577568192751773e-06
Foundation_Stone,3.3703829460761687e-06
House Style_2.5Fin,3.182468197021454e-06
Condition 2_RRNn,3.099142471667065e-06
Neighborhood_Greens,2.447365388962523e-06
Roof Matl_WdShake,2.129188822196927e-06
Roof Matl_Metal,1.8631603724316313e-06
Fence_MnWw,1.808757454884701e-06
Exterior 1st_AsphShn,1.6655824214789519e-06
Exterior 2nd_Stone,1.5642351277836031e-06
Exterior 2nd_AsphShn,1.5621325575070361e-06
Sale Type_Con,1.516892637325835e-06
Heating_OthW,1.5113249034969363e-06
Foundation_Wood,1.4302516362242081e-06
Exterior 1st_CBlock,1.225565551397688e-06
Misc Feature_Othr,1.2080500454532707e-06
Condition 2_PosN,1.090671010694552e-06
Roof Style_Mansard,9.750618574758557e-07
Neighborhood_Blueste,8.768721186458563e-07
Sale Type_VWD,6.528965600521593e-07
Neighborhood_Landmrk,2.0592288919579419e-07
Bsmt Cond_Ex,1.7980271158228152e-07
Pool QC_TA,1.6604753357585723e-07
Condition 2_RRAn,1.6145596422500378e-07
Garage Cond_Ex,1.3823265212985245e-07
Condition 2_RRAe,5.360623231723897e-08
Garage Qual_Ex,4.824181032140297e-08
Exterior 1st_Stone,4.76844068363433e-08
Utilities_NoSeWa,6.445849845673337e-09
Roof Matl_Roll,4.712960637241612e-09
Pool QC_Fa,3.889005319180523e-09
Exterior 1st_ImStucc,9.34680500303274e-11
Misc Feature_TenC,0.0
Roof Matl_Membran,0.0
Exterior 2nd_Other,0.0
Kitchen Qual_Po,0.0
MS Zoning_I (all),0.0
